Log_ID,Timestamp,Log Level,Username,Category,Description
67,4/5/2024 6:11:10 AM,Info,fEdvfXkpLAh88eklCsiNFuV9wMR4c846K+i/d8EW6u0=,Data Store,Successfully sent OTP to manager.
68,4/5/2024 6:11:23 AM,Info,fEdvfXkpLAh88eklCsiNFuV9wMR4c846K+i/d8EW6u0=,Data Store,Successful authentication.
69,4/5/2024 6:12:32 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successfully sent OTP to manager.
70,4/5/2024 6:12:43 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successful authentication.
71,4/5/2024 6:15:42 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successfully sent OTP to manager.
72,4/5/2024 6:17:15 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successful authentication.
73,4/5/2024 6:17:44 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successfully sent OTP to manager.
74,4/5/2024 6:18:00 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successful authentication.
75,4/5/2024 6:20:50 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successfully sent OTP to manager.
76,4/5/2024 6:21:47 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successful authentication.
77,4/5/2024 6:37:29 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successfully sent OTP to manager.
78,4/5/2024 6:37:51 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successful authentication.
79,4/5/2024 6:41:07 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successfully sent OTP to manager.
80,4/5/2024 6:41:22 AM,Info,Pa6G8g5gbAm4TeHDCl3yHjlwHKawXwoy3EPXYLVCnMg=,Data Store,Successful authentication.
